Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-02-27 02-AM,ETHUSD,863.51,866,860.97,863,1923.53,1659964.81
2018-02-27 01-AM,ETHUSD,871.41,871.99,861,863.51,1802.67,1562885.8
2018-02-27 12-AM,ETHUSD,867.09,872,865.49,871.41,1701.59,1478653.97
2018-02-26 11-PM,ETHUSD,868.03,868.03,862.2,867.09,1127.46,976508.54
2018-02-26 10-PM,ETHUSD,864.9,870.38,861.88,868.03,2336.62,2023988.05
2018-02-26 09-PM,ETHUSD,862,871,860,864.9,4781.34,4144263.56
2018-02-26 08-PM,ETHUSD,863.4,863.4,856.93,862,2974.06,2555944.49
2018-02-26 07-PM,ETHUSD,862,864,860.21,863.4,2678.9,2310469.13
2018-02-26 06-PM,ETHUSD,867.97,872,859.21,862,2597.74,2244380.14
2018-02-26 05-PM,ETHUSD,862.63,868.07,857.22,867.97,3801.01,3274270.17
2018-02-26 04-PM,ETHUSD,870.92,874.94,861.99,862.63,3925.93,3413464.36
2018-02-26 03-PM,ETHUSD,872.58,874.35,869.49,870.92,3233.32,2817500.42
2018-02-26 02-PM,ETHUSD,870,877.5,869,872.58,4408.71,3849201.95
2018-02-26 01-PM,ETHUSD,866.17,877,866.17,870,7125.01,6213778.39
2018-02-26 12-PM,ETHUSD,859.07,866.18,855.96,866.17,1352.38,1163174.33
2018-02-26 11-AM,ETHUSD,857.07,862.07,857.06,859.07,1774.63,1525649.96
2018-02-26 10-AM,ETHUSD,845.81,857.07,845.65,857.07,1003.44,856207.64
2018-02-26 09-AM,ETHUSD,842.05,848,841.42,845.81,1179.41,996655.36
2018-02-26 08-AM,ETHUSD,844.74,845.06,837.19,842.05,1310.44,1101238.65
2018-02-26 07-AM,ETHUSD,836.23,844.74,835.84,844.74,932.31,782625.83
2018-02-26 06-AM,ETHUSD,849.44,849.44,835,836.23,2106.19,1770262.83
2018-02-26 05-AM,ETHUSD,851.75,854,845.84,849.44,870.75,739771.83
2018-02-26 04-AM,ETHUSD,850.1,851.93,845.84,851.75,2984.44,2532097.57
2018-02-26 03-AM,ETHUSD,857.36,858,847.93,850.1,2371.79,2020979.15
2018-02-26 02-AM,ETHUSD,853.99,859,851.16,857.36,2884.81,2466572.95
2018-02-26 01-AM,ETHUSD,842.36,854.01,842.35,853.99,4027.62,3417341.08
2018-02-26 12-AM,ETHUSD,841.96,844.03,838.52,842.36,1462.28,1231250.79
2018-02-25 11-PM,ETHUSD,847.16,847.24,839.1,841.96,2061.35,1739232.08
2018-02-25 10-PM,ETHUSD,840.09,847.24,837.7,847.16,1771.96,1492566.41
2018-02-25 09-PM,ETHUSD,838.37,841.79,834.4,840.09,1952.05,1637456.06
2018-02-25 08-PM,ETHUSD,835.81,843.54,833,838.37,4532,3799044.62
2018-02-25 07-PM,ETHUSD,832.58,838.17,829.6,835.81,1541.98,1287719.25
2018-02-25 06-PM,ETHUSD,828.92,832.72,825,832.58,1561.79,1292830.12
2018-02-25 05-PM,ETHUSD,831.47,831.98,827.08,828.92,968.93,803583.82
2018-02-25 04-PM,ETHUSD,827.01,831.98,825,831.47,2164.27,1792729.28
2018-02-25 03-PM,ETHUSD,825,829.54,816.89,827.01,2023.56,1662901.55
2018-02-25 02-PM,ETHUSD,828.88,830,824.65,825,954.36,789216.87
2018-02-25 01-PM,ETHUSD,829.57,831.8,821,828.88,1798.67,1485005.8
2018-02-25 12-PM,ETHUSD,837.51,840.02,828.5,829.57,931.28,775719.96
2018-02-25 11-AM,ETHUSD,840.09,844.73,834.6,837.51,1068.11,897893.87
2018-02-25 10-AM,ETHUSD,838.3,842.24,834.99,840.09,429.14,360267.44
2018-02-25 09-AM,ETHUSD,837.12,840,833,838.3,1114.86,932683.28
2018-02-25 08-AM,ETHUSD,843.13,845.49,834.69,837.12,1209.46,1015207.01
2018-02-25 07-AM,ETHUSD,844.7,848.8,840.99,843.13,863.09,729553.39
2018-02-25 06-AM,ETHUSD,842.19,849.26,842.15,844.7,1635.5,1384638.68
2018-02-25 05-AM,ETHUSD,838.76,843.74,836.1,842.19,1398.25,1175726.69
2018-02-25 04-AM,ETHUSD,833.24,841,833.24,838.76,1602.2,1342315.56
2018-02-25 03-AM,ETHUSD,834.76,834.76,825,833.24,1335.53,1108462.28
2018-02-25 02-AM,ETHUSD,839.86,840,833.01,834.76,2452.48,2056025.73
2018-02-25 01-AM,ETHUSD,830.7,839.86,828.72,839.86,1530.3,1278445.98
2018-02-25 12-AM,ETHUSD,833.2,833.2,824.21,830.7,1390.09,1151723.67
2018-02-24 11-PM,ETHUSD,831,838,830.71,833.2,1372.27,1144560.58
2018-02-24 10-PM,ETHUSD,819.55,833.74,819,831,1480.95,1224587.38
2018-02-24 09-PM,ETHUSD,811.06,823.75,811.05,819.55,2620.53,2143168.31
